Наименование:;Код товара:;Артикул:;Группа товаров:;Вид товаров:;Единица измерения:;Весовой товар:;Код весового товара;Штрих-код:;Цена:;Количество:
Хліб Домашній;39;39;Алкоголь;Пиво;шт;False;39;2000408006244;240;48
Хліб Петрівський Формовий;40;40;Алкоголь;Пиво;шт;False;40;2000408006251;245;49
Батон Любительський;41;41;Алкоголь;Пиво;шт;False;41;2000408006268;250;50
Хліб Паляниця;42;42;Алкоголь;Пиво;шт;False;42;2000408006275;255;51
Хліб Сімейний;43;43;Алкоголь;Пиво;шт;False;43;2000408006282;260;52
Хліб Солодовий;44;44;Алкоголь;Пиво;шт;False;44;2000408006299;265;53
Хліб Житньо-пшеничний;45;45;Алкоголь;Пиво;шт;False;45;2000408006305;270;54
Хліб Громадянський;46;46;Алкоголь;Пиво;шт;False;46;2000408006312;275;55
Хліб Книш;47;47;Алкоголь;Пиво;шт;False;47;2000408006329;280;56
Батон Столичний;48;48;Алкоголь;Пиво;шт;False;48;2000408006336;285;57
Кекс Бісквітний 0,3 0;49;49;Алкоголь;Пиво;шт;False;49;2000408006343;290;58
Бублик;50;50;Алкоголь;Пиво;шт;False;50;2000408006350;295;59
Булочка Плюшка;51;51;Алкоголь;Пиво;шт;False;51;2000408006367;300;60
Булка з маком;52;52;Алкоголь;Пиво;шт;False;52;2000408006374;305;61
Булка з родзинками;53;53;Алкоголь;Пиво;шт;False;53;2000408006381;310;62
Булка Фантазія;54;54;Алкоголь;Пиво;шт;False;54;2000408006398;315;63
Корж Шкільний;55;55;Алкоголь;Пиво;шт;False;55;2000408006404;320;64
Корж Ковельльський;56;56;Алкоголь;Пиво;шт;False;56;2000408006411;325;65
Булочка Хот - Дог;57;57;Алкоголь;Пиво;шт;False;57;2000408006428;330;66
Булочка Здоба Фірмова;58;58;Алкоголь;Пиво;шт;False;58;2000408006435;335;67
Сосіска охотніча в тісті;59;59;Алкоголь;Пиво;шт;False;59;2000408006442;340;68
Піцца з куркой;60;60;Алкоголь;Пиво;шт;False;60;2000408006459;345;69
Сосіска в тісті;61;61;Алкоголь;Пиво;шт;False;61;2000408006466;350;70
Пиріжок (вишня);62;62;Алкоголь;Пиво;шт;False;62;2000408006497;355;71
Піцца з ковбасою;63;63;Алкоголь;Пиво;шт;False;63;2000408006510;360;72
Рулет з маком та родзинками;64;64;Алкоголь;Пиво;шт;False;64;2000408006541;365;73
Пиріг Вітамінка 256 г;65;65;Алкоголь;Пиво;шт;False;65;2000408006572;370;74
Багет з сиром;66;66;Алкоголь;Пиво;шт;False;66;2000408006596;375;75
Пиріг з вишнею;67;67;Алкоголь;Пиво;шт;False;67;2000408006602;380;76
Багет ковбаса та сир;68;68;Алкоголь;Пиво;шт;False;68;2000408006626;385;77
Пиріг яблучний 290 г;69;69;Алкоголь;Пиво;шт;False;69;2000408006640;390;78
Піцца курка та гриби;70;70;Алкоголь;Пиво;шт;False;70;2000408006657;395;79
Пиріжок картошка та м'ясом;71;71;Алкоголь;Пиво;шт;False;71;2000408006701;400;80
Рулет з родзинками та яблуками;72;72;Алкоголь;Пиво;шт;False;72;2000408006725;405;81
Слойка з грибами (уголок) 180 г;73;73;Алкоголь;Пиво;шт;False;73;2000408006732;410;82
Слойка з куркою (уголок) 185 г;74;74;Алкоголь;Пиво;шт;False;74;2000408006749;415;83
Батон Нарізний;75;75;Алкоголь;Пиво;шт;False;75;2000408006787;420;84
Батон Нарізний нарізка;76;76;Алкоголь;Пиво;шт;False;76;2000408006794;425;85
Хліб Козацький;77;77;Алкоголь;Пиво;шт;False;77;2000408006800;430;86
Хліб Білий в/с (овал);78;78;Алкоголь;Пиво;шт;False;78;2000408006817;435;87
Хліб Білий з муки в/с Формовий;79;79;Алкоголь;Пиво;шт;False;79;2000408006824;440;88
Полуниця;80;80;Алкоголь;Пиво;шт;False;80;2000408007920;445;89
Вітрячок з цукеркою;81;81;Алкоголь;Пиво;шт;False;81;2000408007937;450;90
Торт Насолода "Шансон" 2 0;82;82;Алкоголь;Пиво;шт;False;82;2000408007944;455;91
Торт Насолода "Тірамісу" 1 0;83;83;Алкоголь;Пиво;шт;False;83;2000408007951;460;92
М`ясний хворост курячий до пива 50 гр;84;84;Алкоголь;Пиво;шт;False;84;2000408007968;465;93
М`ясний хворост яловичий до пива 50 гр;85;85;Алкоголь;Пиво;шт;False;85;2000408007975;470;94
Торт Насолода "Бджілка" 1 0;86;86;Алкоголь;Пиво;шт;False;86;2000408007982;475;95
Торт Насолода "Прага" 1 0;87;87;Алкоголь;Пиво;шт;False;87;2000408007999;480;96
Горілка "Smirnoff Red" 0,7л;88;88;Алкоголь;Пиво;шт;False;88;2000408008002;485;97
Торт Насолода "Грильяжний" 1 0;89;89;Алкоголь;Пиво;шт;False;89;2000408008019;490;98
Торт Насолода "Київський" 1 0;90;90;Алкоголь;Пиво;шт;False;90;2000408008026;495;99
Сигара " MonteKristo";91;91;Алкоголь;Пиво;шт;False;91;2000408008033;500;100
Торт Насолода "Київський" 0,5 0;92;92;Алкоголь;Пиво;шт;False;92;2000408008040;505;101
Рулет Насолода "Горіховий" 0,5 0;93;93;Алкоголь;Пиво;шт;False;93;2000408008057;510;102
Тістечко Насолода "Заварне з масляним кремом" 0,3 0;94;94;Алкоголь;Пиво;шт;False;94;2000408008064;515;103
Олія "Диканька" раф 920 г;95;95;Алкоголь;Пиво;шт;False;95;2000408008071;520;104
Тістечко Насолода "Наполеон" 0,8 0;96;96;Алкоголь;Пиво;шт;False;96;2000408008088;525;105
Крупа "Золотий Стандарт" Гречана січка 900г;97;97;Алкоголь;Пиво;шт;False;97;2000408008095;530;106
Торт Бон Асорті "Амур" 1,2 0;98;98;Алкоголь;Пиво;шт;False;98;2000408008101;535;107
Крупа "Золотий Стандарт" Рисова січка 900г;99;99;Алкоголь;Пиво;шт;False;99;2000408008118;540;108
Торт Бон Асорті "Насолода" 1,2 0;100;100;Алкоголь;Пиво;шт;False;100;2000408008125;545;109
Торт Бон Асорті "Тет-а-Тет" 1,2 0;101;101;Алкоголь;Пиво;шт;False;101;2000408008132;550;110
Торт Бон Асорті "Мулатка" 1,2 0;102;102;Алкоголь;Пиво;шт;False;102;2000408008149;555;111
Торт Бон Асорті "Зайка" 1,2 0;103;103;Алкоголь;Пиво;шт;False;103;2000408008156;560;112
Трубочки зі згущеним молоком Х/З №3  1 0.;104;104;Алкоголь;Пиво;шт;False;104;2000408008163;565;113
Мрія 1 0;105;105;Алкоголь;Пиво;шт;False;105;2000408008170;570;114
Тістечко "Заварне" 1 0;106;106;Алкоголь;Пиво;шт;False;106;2000408008187;575;115
Торт Домашня випічка "Кучерявий Пінчер" в/с;107;107;Алкоголь;Пиво;шт;False;107;2000408008194;580;116
Коньяк "Klinkov V.S." 5* туба 0,5л;108;108;Алкоголь;Пиво;шт;False;108;2000408008224;585;117
Тістечко Насолода "Шедевр" 550 г;109;109;Алкоголь;Пиво;шт;False;109;2000408008262;590;118
Торт Насолода "Україна" 0,45 0;110;110;Алкоголь;Пиво;шт;False;110;2000408008279;595;119
Торт Насолода "Ромашка" 0,5 0;111;111;Алкоголь;Пиво;шт;False;111;2000408008286;600;120
Торт Насолода "Ромашка" 0,7 0;112;112;Алкоголь;Пиво;шт;False;112;2000408008293;605;121
Торт Насолода "Медовик";113;113;Алкоголь;Пиво;шт;False;113;2000408008309;610;122
Торт Насолода "Горіховий рулет"  500 г;114;114;Алкоголь;Пиво;шт;False;114;2000408008316;615;123
Торт Насолода "Пташка";115;115;Алкоголь;Пиво;шт;False;115;2000408008323;620;124
Тістечко Насолода "Корзинки";116;116;Алкоголь;Пиво;шт;False;116;2000408008330;625;125
Багет "Бутербродний" 300  г;117;117;Алкоголь;Пиво;шт;False;117;2000408008347;630;126
Багет з травами 300 г;118;118;Алкоголь;Пиво;шт;False;118;2000408008354;635;127
Булка Дитяча 90 г;119;119;Алкоголь;Пиво;шт;False;119;2000408008378;640;128
Булка з маком;120;120;Алкоголь;Пиво;шт;False;120;2000408008392;645;129
Пиріжок (повидло);121;121;Алкоголь;Пиво;шт;False;121;2000408008408;650;130
Булка з родзинками;122;122;Алкоголь;Пиво;шт;False;122;2000408008415;655;131
Булка з цукром 86 г;123;123;Алкоголь;Пиво;шт;False;123;2000408008422;660;132
Пиріжок (яблуко);124;124;Алкоголь;Пиво;шт;False;124;2000408008439;665;133
Булка зі згущеним молоком 140 г;125;125;Алкоголь;Пиво;шт;False;125;2000408008446;670;134
Булка  (яблуко, виноград);126;126;Алкоголь;Пиво;шт;False;126;2000408008453;675;135
Ватрушка з творогом;127;127;Алкоголь;Пиво;шт;False;127;2000408008460;680;136
Котлета в тісті;128;128;Алкоголь;Пиво;шт;False;128;2000408008484;685;137
Пампушка з часником;129;129;Алкоголь;Пиво;шт;False;129;2000408008491;690;138
Пиріжок з капустой;130;130;Алкоголь;Пиво;шт;False;130;2000408008507;695;139
Пиріжок з куркою;131;131;Алкоголь;Пиво;шт;False;131;2000408008514;700;140
Пиріжок картопля та зелень;132;132;Алкоголь;Пиво;шт;False;132;2000408008521;705;141
Піцца з грибами;133;133;Алкоголь;Пиво;шт;False;133;2000408008538;710;142
Хачапурі 170 г;134;134;Алкоголь;Пиво;шт;False;134;2000408008552;715;143
Хлібець сир+цибуля;135;135;Алкоголь;Пиво;шт;False;135;2000408008583;720;144
Рулет "Різдво";136;136;Алкоголь;Пиво;шт;False;136;2000408008606;725;145
Креативний шоколад "Shoko smile" мол. "Моєму вчителю" 100 г;137;137;Алкоголь;Пиво;шт;False;137;2000408008613;730;146
Креативний шоколад "Shoko smile" чор. "Собаки кращі друзяки" 60  г;138;138;Алкоголь;Пиво;шт;False;138;2000408008620;735;147
Кава "Ricco coffe" Premium Espresso зерна 1 0;139;139;Алкоголь;Пиво;шт;False;139;2000408008637;740;148
Кава "Ricco coffe" Crema Aroma Italiano 250 г;140;140;Алкоголь;Пиво;шт;False;140;2000408008644;745;149
Кава "Ricco coffe" Super Aroma Black 250 г;141;141;Алкоголь;Пиво;шт;False;141;2000408008651;750;150
Тістечко "Тумбочка" 10;142;142;Алкоголь;Пиво;шт;False;142;2000408008668;755;151
Тістечко "Тумбочка" шоколадна 10;143;143;Алкоголь;Пиво;шт;False;143;2000408008675;760;152
Тістечко "Сметанник" 1 0;144;144;Алкоголь;Пиво;шт;False;144;2000408008682;765;153
Тістечко "Трубочка" 10;145;145;Алкоголь;Пиво;шт;False;145;2000408008699;770;154
Тістечко "Мрія" 10;146;146;Алкоголь;Пиво;шт;False;146;2000408008705;775;155
Тістечко "Воздушне" 10;147;147;Алкоголь;Пиво;шт;False;147;2000408008712;780;156
Тістечко "Воздушне" з арахісом 10;148;148;Алкоголь;Пиво;шт;False;148;2000408008729;785;157
Тістечко Насолода "Пражське" 600 г;149;149;Алкоголь;Пиво;шт;False;149;2000408008736;790;158
Торт Насолода "Президент" 600 г;150;150;Алкоголь;Пиво;шт;False;150;2000408008743;795;159
Торт Насолода "Снікерс" 0,6 0;151;151;Алкоголь;Пиво;шт;False;151;2000408008750;800;160
Тістечко Насолода "Угол іриска" 600 г;152;152;Алкоголь;Пиво;шт;False;152;2000408008767;805;161
Торт Насолода "Славутич" 0,5 0;153;153;Алкоголь;Пиво;шт;False;153;2000408008774;810;162
Торт Бон Асорті "Фієста" 0,6 0;154;154;Алкоголь;Пиво;шт;False;154;2000408008781;815;163
Торт Насолода "Спокуса" 0,5 0;155;155;Алкоголь;Пиво;шт;False;155;2000408008798;820;164
Торт Бон Асорті "Тандем" 1,2 0;156;156;Алкоголь;Пиво;шт;False;156;2000408008804;825;165
Торт Насолода "Матео" 1 0;157;157;Алкоголь;Пиво;шт;False;157;2000408008811;830;166
Торт Бон Асорті "Святковий шедевр" 1,2 0;158;158;Алкоголь;Пиво;шт;False;158;2000408008828;835;167
Торт Бон Асорті "Фаворит" 1,1 0;159;159;Алкоголь;Пиво;шт;False;159;2000408008835;840;168
Торт Бон Асорті "Міньойн" 1,2 0;160;160;Алкоголь;Пиво;шт;False;160;2000408008842;845;169
Торт Насолода "Прага" 0,5 0;161;161;Алкоголь;Пиво;шт;False;161;2000408008859;850;170
Крупа "Золотой Стандарт" Кукурудзяна 900 г;162;162;Алкоголь;Пиво;шт;False;162;2000408008866;855;171
Борошно "Marko Aronni" пшеничне в/с 1,80;163;163;Алкоголь;Пиво;шт;False;163;2000408008873;860;172
Борошно "Marko Aronni" пшеничне в/с 1 0;164;164;Алкоголь;Пиво;шт;False;164;2000408008880;865;173
Шоколад "Женские 0учки" 60 г;165;165;Алкоголь;Пиво;шт;False;165;2000408008897;870;174
Макарони "Combino" Перо 500г;166;166;Алкоголь;Пиво;шт;False;166;20012151;875;175
Лікер "Limoncino" 0,7 л;167;167;Алкоголь;Пиво;шт;False;167;20029760;880;176
Макарони "Combino Farfalle" 500 г;168;168;Алкоголь;Пиво;шт;False;168;20093099;885;177
Шок. "J. D. Gross" чорний з апельсином 125г;169;169;Алкоголь;Пиво;шт;False;169;20177195;890;178
Макарони "Combino" Snabbmakaroner 500г;170;170;Алкоголь;Пиво;шт;False;170;20220211;895;179
Шок. "J. D. Gross" чорний 125г;171;171;Алкоголь;Пиво;шт;False;171;20229511;900;180
Шок. "Mister CHOC" Pfefferminz Praline 200 г;172;172;Алкоголь;Пиво;шт;False;172;20229535;905;181
Джусі сплеш 150 г;173;173;Алкоголь;Пиво;шт;False;173;20336622;910;182
Макарони "Combino Alfabeto" 500 г;174;174;Алкоголь;Пиво;шт;False;174;20437602;915;183
Вино "Telero Rosso" сухе червоне 0,75 л;175;175;Алкоголь;Пиво;шт;False;175;2112080120801;920;184
Віскі "Highland queen" 1л;176;176;Алкоголь;Пиво;шт;False;176;2113167131673;925;185
Славія Сир Тоцарела 50%;177;177;Алкоголь;Пиво;шт;False;177;2200363203225;930;186
Ювілейний Ковбаски в/с с/к "Салямкі золотисті";178;178;Алкоголь;Пиво;шт;False;178;2201582402222;935;187
Славія янтар сир плавлений 60% 194г;179;179;Алкоголь;Пиво;шт;False;179;2201757001946;940;188
М`ясна Гільдія Сосиски в/с "З сиром" 0,448 0;180;180;Алкоголь;Пиво;шт;False;180;2201872104485;945;189
Сир "Полтавочка" м'який Адигейський 45%;181;181;Алкоголь;Пиво;шт;False;181;2201921703508;950;190
Шок. "Choceur" trauben nuss 200г;182;182;Алкоголь;Пиво;шт;False;182;22111111;955;191
Аплинські сири Сир плавлений Галицький з ароматом диму 48%  290 г;183;183;Алкоголь;Пиво;шт;False;183;2219244500292;960;192
Аплинські сири Сир плавлений Галицький з ароматом диму 48%  340 г;184;184;Алкоголь;Пиво;шт;False;184;2219244500346;965;193
Шато 400 г;185;185;Алкоголь;Пиво;шт;False;185;27039571;970;194
Шоколад "Moser Roth" карамель 125 г;186;186;Алкоголь;Пиво;шт;False;186;29039579;975;195
Шок. "Chateau" schoko milch riegel 200г;187;187;Алкоголь;Пиво;шт;False;187;29039647;980;196
Шок. "Chateau " родзинки та горіх  200 г;188;188;Алкоголь;Пиво;шт;False;188;29039746;985;197
Шоколад "Шато" 200 г;189;189;Алкоголь;Пиво;шт;False;189;29039760;990;198
Шок. "Chateau " з кокосом 200 г;190;190;Алкоголь;Пиво;шт;False;190;29039777;995;199
Шок. "Chateau " Erdbeer Joghurt 200 г (ассорт);191;191;Алкоголь;Пиво;шт;False;191;29039791;1000;200
Цукерки "Etdbeere" шоколадні з полуницею;192;192;Алкоголь;Пиво;шт;False;192;29039944;1005;201
Корм для котів " Friskies " М`ясо і курка сухий коробка 400 г;193;193;Алкоголь;Пиво;шт;False;193;3010470169432;1010;202
Корм для котів " Friskies " Лосось сухий коробка 400 г;194;194;Алкоголь;Пиво;шт;False;194;3010470169456;1015;203
Вино " Гі Саже Роз Д Анжур"  напівсухе рожеве 0,75л;195;195;Алкоголь;Пиво;шт;False;195;3014220909101;1020;204
Коньяк "Remy martin" VS superieur 0,5л;196;196;Алкоголь;Пиво;шт;False;196;3024480007455;1025;205
Бренді "St-remy" authentic0,5л;197;197;Алкоголь;Пиво;шт;False;197;3035540006172;1030;206
Корм для кошенят " Клуб 4 Лапи" 100гр;198;198;Алкоголь;Пиво;шт;False;198;3037645022248;1035;207
Nutrilon кисломолочний дитяче харчування 1 400г;199;199;Алкоголь;Пиво;шт;False;199;3041094787436;1040;208
Nutrilon кисломолочне дитяче харчування-2  ж/б 400г;200;200;Алкоголь;Пиво;шт;False;200;3041094787443;1045;209
Весела Корівка СирХрум з хлібн. паличками 35 г;201;201;Алкоголь;Пиво;шт;False;201;3073780821155;1050;210
Весела корівка сир плавлений вершковий з вітамінами 180г;202;202;Алкоголь;Пиво;шт;False;202;3073780980685;1055;211
Весела Корівка Вершковий сир плавлений із зеленню та часником 50% 180 г;203;203;Алкоголь;Пиво;шт;False;203;3073780980722;1060;212
Весела корівка сир плавлений вершковий з грибами 50% 180г;204;204;Алкоголь;Пиво;шт;False;204;3073780980746;1065;213
Весела Корівка Сир плавлений Творожний 50% 90 г;205;205;Алкоголь;Пиво;шт;False;205;3073781035872;1070;214
Весела Корівка Сир плавлений Вершковий з шинкою 50% 90 г;206;206;Алкоголь;Пиво;шт;False;206;3073781045291;1075;215
Весела Корівка Сир плавлений з зеленню та часником 50% 90 г;207;207;Алкоголь;Пиво;шт;False;207;3073781045314;1080;216
Весела Корівка Сир плавлений Вершковий 50% 90 г;208;208;Алкоголь;Пиво;шт;False;208;3073781051100;1085;217
Пиво "Гримберген Бланш" 0,33л;209;209;Алкоголь;Пиво;шт;False;209;3080216034676;1090;218
Bonduelle Біла квасоля натуральна Ж/Б 400 г ключ;210;210;Алкоголь;Пиво;шт;False;210;3083680001663;1095;219
Bonduelle Кукурудза маринована 425 г;211;211;Алкоголь;Пиво;шт;False;211;3083680002875;1100;220
Bonduelle Червона квасоля натуральна Ж/Б 400 г ключ;212;212;Алкоголь;Пиво;шт;False;212;3083680009508;1105;221
Bonduelle Горошок зелений 425 г;213;213;Алкоголь;Пиво;шт;False;213;3083680048774;1110;222
Запальничка Бік J3;214;214;Алкоголь;Пиво;шт;False;214;3086120600044;1115;223
Сир "Milkana" безлактозний  60% 7 ломтиків;215;215;Алкоголь;Пиво;шт;False;215;3090291117348;1120;224
Вино " Baron De Lirondeau " червоне  сухе 0,75л.;216;216;Алкоголь;Пиво;шт;False;216;3107874905121;1125;225
Вино "Baron de lirondeau" rouge moelleux червоне напівсолодке 0,75л;217;217;Алкоголь;Пиво;шт;False;217;3107874905145;1130;226
Вино "Baron De Lirondeau " біле напівсолодке 0,75л;218;218;Алкоголь;Пиво;шт;False;218;3107874906128;1135;227
Вино "Baron de lirondeau" сухе біле 0,75 л;219;219;Алкоголь;Пиво;шт;False;219;3107874906173;1140;228
Кава Jacobs Monarch "Велюр Нуар" завар. 250 г;220;220;Алкоголь;Пиво;шт;False;220;3117341650010;1145;229
Кава "Carte Noire"  в зернах 250 г;221;221;Алкоголь;Пиво;шт;False;221;3117341654018;1150;230
Кава стік "Carte Noire №5 Original" мелена 250 г;222;222;Алкоголь;Пиво;шт;False;222;3117341654032;1155;231
Вино Grande Ecperance" Roguege Sec " сухе червоне 0,75 л;223;223;Алкоголь;Пиво;шт;False;223;3120581368737;1160;232
Вино Grande Ecperance" Гранд Есперанс " сухе біле 0,75 л;224;224;Алкоголь;Пиво;шт;False;224;3120581368744;1165;233
Вiскi " Lebel 5 " 0,7л;225;225;Алкоголь;Пиво;шт;False;225;3147697720204;1170;234
Вiскi " Label 5 " 0,5л;226;226;Алкоголь;Пиво;шт;False;226;3147699100653;1175;235
Вино "Calvet" Bordeaux червоне сухе 0,75л;227;227;Алкоголь;Пиво;шт;False;227;3159567000552;1180;236
Бренді "St-remy"  0,5л;228;228;Алкоголь;Пиво;шт;False;228;3161420002467;1185;237
Вино "Sellier des dauphins" шардоне біле напівсолодке 0,75л;229;229;Алкоголь;Пиво;шт;False;229;3179077469090;1190;238
Вино "Celler du grangeon" напівсолодке червоне 0,75л;230;230;Алкоголь;Пиво;шт;False;230;3211201070038;1195;239
Вино Cellier Du Grangeon " Жарден дюРой "напівсолодке біле  0,75л;231;231;Алкоголь;Пиво;шт;False;231;3211201070069;1200;240
Вино "le jardin du roy"  blanc сухе біле 0,75л;232;232;Алкоголь;Пиво;шт;False;232;3211209189411;1205;241
Вино Castel Freres " Жарден дю Рой " сухе червоне 0,75л;233;233;Алкоголь;Пиво;шт;False;233;3211209189442;1210;242
Корм для котів " Friskies " Індор сухий коробка 400 г;234;234;Алкоголь;Пиво;шт;False;234;3222270175852;1215;243
Коньяк "Hennessy" very special 0,5л;235;235;Алкоголь;Пиво;шт;False;235;3245990287407;1220;244
Коньяк "Hennessy" very special 40% об. 0,5л;236;236;Алкоголь;Пиво;шт;False;236;3245995817111;1225;245
Вино Bordeaus " Ле Тюлєрі " сухе біле 0,75л;237;237;Алкоголь;Пиво;шт;False;237;3249992012319;1230;246
Парижська Буренка Французька слабосолена продукт розсольний 500 г;238;238;Алкоголь;Пиво;шт;False;238;3256760106408;1235;247
Парижська Буренка Французька слабосолена продукт розсольний 200 г;239;239;Алкоголь;Пиво;шт;False;239;3256761210005;1240;248
Лiкер " Meukow Vanilla "  0,5л;240;240;Алкоголь;Пиво;шт;False;240;3257150101959;1245;249
Ром "Santiago de Cuba" міц. 38% 1 л;241;241;Алкоголь;Пиво;шт;False;241;3257150410068;1250;250
Бренді "Cortel Napoleon" 0,7 л;242;242;Алкоголь;Пиво;шт;False;242;3269551430743;1255;251
Бренді "Cortel XO" 0,7 л;243;243;Алкоголь;Пиво;шт;False;243;3269557141520;1260;252
Свіжий сир "Шавру" з козиного молока 150 г;244;244;Алкоголь;Пиво;шт;False;244;3272770003148;1265;253
Творожний сир "P'tit Louis" 8*20 г;245;245;Алкоголь;Пиво;шт;False;245;3272770005708;1270;254
Вино Chablis "Альберт Бішо Шаблі" сухе біле 0,75 л;246;246;Алкоголь;Пиво;шт;False;246;3296311118009;1275;255
Віскі "Highland queen" 0,5л;247;247;Алкоголь;Пиво;шт;False;247;3328640122614;1280;256
Вино Alsace "Гевюрцтрамінер" напівсухе біле 0,75л;248;248;Алкоголь;Пиво;шт;False;248;3421149070148;1285;257
President вершки для чая та кофе 10%  10*10 г;249;249;Алкоголь;Пиво;шт;False;249;3428200386439;1290;258
Шампанське "Opera" Brut  біле 0,75л;250;250;Алкоголь;Пиво;шт;False;250;3438931017786;1295;259
Шампанське "Andre Gallois" Brut  біле 0,75л;251;251;Алкоголь;Пиво;шт;False;251;3439499001767;1300;260
Шампанське "Andre Gallois" demi sec  напівсухе біле 0,75л;252;252;Алкоголь;Пиво;шт;False;252;3439499001798;1305;261
Шампанське "Alexandre loiseau" Litchi 0,75л;253;253;Алкоголь;Пиво;шт;False;253;3443350085001;1310;262
Вино "Chablis 2012" сухе біле 0,75 л;254;254;Алкоголь;Пиво;шт;False;254;3443500975022;1315;263
Трюфельні цукерки "Truffettes" 200 г;255;255;Алкоголь;Пиво;шт;False;255;3472710016010;1320;264
Шоколадні французькі трюфелі "Truffettes" зі смаком кави;256;256;Алкоголь;Пиво;шт;False;256;3472710019073;1325;265
Вино Le Jeune "Руж" Ле Жен Жан-Поль червоне напівсухе 0,75л;257;257;Алкоголь;Пиво;шт;False;257;3500610052965;1330;266
Вино Le Jeune"Блан Муалле" Ле Жен Жан-Поль белое напывсолодке 0,75л;258;258;Алкоголь;Пиво;шт;False;258;3500610052972;1335;267
Вино Le Jeune "Руж Муалле" Ле Жен Жан-Поль червоне напівсолодке 0,75л;259;259;Алкоголь;Пиво;шт;False;259;3500610052989;1340;268
